# Data extracted on: February 4, 2016 (10:06:56 AM)
# from http://data.bls.gov/timeseries/LNU04000000
# Labor Force Statistics from the Current Population Survey
# Not Seasonally Adjusted
# Series title:        (Unadj) Unemployment Rate
# Labor force status:  Unemployment rate
# Type of data:        Percent or rate
# Age:                 16 years and over
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,4.0,4.7,4.5,4.0,3.4,3.9,3.9,3.6,3.4,2.9,3.3,3.6
1949,5.0,5.8,5.6,5.4,5.7,6.4,7.0,6.3,5.9,6.1,5.7,6.0
1950,7.6,7.9,7.1,6.0,5.3,5.6,5.3,4.1,4.0,3.3,3.8,3.9
1951,4.4,4.2,3.8,3.2,2.9,3.4,3.3,2.9,3.0,2.8,3.2,2.9
1952,3.7,3.8,3.3,3.0,2.9,3.2,3.3,3.1,2.7,2.4,2.5,2.5
1953,3.4,3.2,2.9,2.8,2.5,2.7,2.7,2.4,2.6,2.5,3.2,4.2
1954,5.7,6.3,6.4,6.1,5.7,5.7,5.7,5.4,5.3,4.6,4.9,4.8
1955,5.8,5.7,5.2,4.9,4.2,4.4,4.0,3.8,3.5,3.4,3.8,3.9
1956,4.7,4.8,4.7,4.1,4.2,4.7,4.4,3.7,3.4,3.1,3.9,4.0
1957,4.9,4.7,4.3,4.0,3.9,4.6,4.1,3.7,3.7,3.6,4.6,5.0
1958,6.8,7.7,7.7,7.5,7.1,7.6,7.4,6.7,6.0,5.5,5.6,6.0
1959,7.0,7.0,6.4,5.2,4.9,5.4,5.2,4.8,4.7,4.7,5.3,5.1
1960,6.1,5.7,6.1,5.2,4.8,5.8,5.5,5.2,4.7,5.0,5.6,6.4
1961,7.7,8.1,7.7,7.0,6.6,7.3,6.9,6.2,5.8,5.5,5.6,5.8
1962,6.7,6.5,6.2,5.5,5.1,5.9,5.3,5.3,4.9,4.5,5.3,5.3
1963,6.6,6.9,6.3,5.6,5.5,6.2,5.6,5.2,4.8,4.7,5.3,5.3
1964,6.4,6.2,5.9,5.3,4.8,5.9,4.9,4.8,4.5,4.4,4.5,4.7
1965,5.5,5.7,5.1,4.7,4.3,5.3,4.5,4.2,3.8,3.6,3.9,3.7
1966,4.4,4.2,4.0,3.6,3.7,4.6,3.9,3.6,3.3,3.2,3.4,3.5
1967,4.2,4.2,3.9,3.5,3.2,4.6,4.1,3.7,3.7,3.8,3.7,3.5
1968,4.0,4.2,3.8,3.2,2.9,4.5,4.0,3.5,3.3,3.2,3.3,3.1
1969,3.7,3.7,3.5,3.2,2.9,4.1,3.8,3.5,3.7,3.5,3.3,3.2
1970,4.2,4.7,4.6,4.3,4.1,5.6,5.3,5.0,5.2,5.1,5.5,5.6
1971,6.6,6.6,6.3,5.7,5.3,6.5,6.2,5.9,5.8,5.4,5.7,5.5
1972,6.5,6.4,6.1,5.5,5.1,6.2,5.9,5.5,5.4,5.1,4.9,4.8
1973,5.5,5.6,5.2,4.8,4.4,5.4,5.0,4.7,4.7,4.2,4.6,4.6
1974,5.7,5.8,5.3,4.8,4.6,5.8,5.7,5.3,5.7,5.5,6.2,6.7
1975,9.0,9.1,9.1,8.6,8.3,9.1,8.7,8.2,8.1,7.8,7.8,7.8
1976,8.8,8.7,8.1,7.4,6.8,8.0,7.8,7.6,7.4,7.2,7.4,7.4
1977,8.3,8.5,7.9,6.9,6.4,7.5,7.0,6.8,6.6,6.4,6.5,6.0
1978,7.1,6.9,6.6,5.8,5.5,6.2,6.3,5.9,5.8,5.4,5.6,5.7
1979,6.4,6.4,6.1,5.5,5.2,6.0,5.9,5.9,5.7,5.6,5.6,5.7
1980,6.9,6.8,6.6,6.7,7.1,7.8,7.9,7.6,7.2,7.1,7.1,6.9
1981,8.2,8.0,7.7,7.0,7.1,7.7,7.3,7.2,7.3,7.5,7.9,8.3
1982,9.4,9.6,9.5,9.2,9.1,9.8,9.8,9.6,9.7,9.9,10.4,10.5
1983,11.4,11.3,10.8,10.0,9.8,10.2,9.4,9.2,8.8,8.4,8.1,8.0
1984,8.8,8.4,8.1,7.6,7.2,7.4,7.5,7.3,7.1,7.0,6.9,7.0
1985,8.0,7.8,7.5,7.1,7.0,7.5,7.4,6.9,6.9,6.8,6.7,6.7
1986,7.3,7.8,7.5,7.0,7.0,7.3,7.0,6.7,6.8,6.6,6.6,6.3
1987,7.3,7.2,6.9,6.2,6.1,6.3,6.1,5.8,5.7,5.7,5.6,5.4
1988,6.3,6.2,5.9,5.3,5.4,5.5,5.5,5.4,5.2,5.0,5.2,5.0
1989,6.0,5.6,5.2,5.1,5.0,5.5,5.3,5.1,5.1,5.0,5.2,5.1
1990,6.0,5.9,5.5,5.3,5.2,5.4,5.6,5.5,5.6,5.5,5.9,6.0
1991,7.1,7.3,7.2,6.5,6.7,7.0,6.8,6.6,6.5,6.5,6.7,6.9
1992,8.1,8.2,7.8,7.2,7.3,8.0,7.7,7.4,7.3,6.9,7.1,7.1
1993,8.0,7.8,7.4,6.9,6.8,7.2,7.0,6.6,6.4,6.4,6.2,6.1
1994,7.3,7.1,6.8,6.2,5.9,6.2,6.2,5.9,5.6,5.4,5.3,5.1
1995,6.2,5.9,5.7,5.6,5.5,5.8,5.9,5.6,5.4,5.2,5.3,5.2
1996,6.3,6.0,5.8,5.4,5.4,5.5,5.6,5.1,5.0,4.9,5.0,5.0
1997,5.9,5.7,5.5,4.8,4.7,5.2,5.0,4.8,4.7,4.4,4.3,4.4
1998,5.2,5.0,5.0,4.1,4.2,4.7,4.7,4.5,4.4,4.2,4.1,4.0
