## adult blowfly population size data from Nicholson's (1957) experiment
## tabulated by Brillinger et al (1980) "Empirical modelling of population time series: The case of age and density dependent rates"
## in: G. Oster (ed.) Some Questions in Mathematical Biology vol 13. American Mathematical Society, Providence pp. 65-90.
"day","y"
0,948
2,942
4,911
6,858
8,801
10,676
12,504
14,397
16,248
18,146
20,1801
22,6235
24,5974
26,8921
28,6610
30,5973
32,5673
34,3875
36,2361
38,1352
40,1226
42,912
44,521
46,363
48,229
50,142
52,82
54,542
56,939
58,2431
60,3687
62,4543
64,4535
66,5441
68,4412
70,3022
72,2656
74,1967
76,1295
78,915
80,551
82,313
84,167
86,95
88,93
90,60
92,68
94,5259
96,6673
98,5441
100,3987
102,2952
104,3648
106,4222
108,3889
110,2295
112,1509
114,928
116,739
118,566
120,383
122,274
124,192
126,226
128,519
130,1224
132,2236
134,3818
136,6208
138,5996
140,5789
142,6652
144,7939
146,4868
148,3952
150,2712
152,1734
154,1224
156,703
158,508
160,366
162,279
164,243
166,343
168,761
170,1025
172,1221
174,1600
176,2267
178,3290
180,3471
182,3637
184,3703
186,4876
188,5364
190,4890
192,3029
194,1950
196,1225
198,1076
200,905
202,772
204,628
206,473
208,539
210,825
212,1702
214,2868
216,4473
218,5221
220,6592
222,6400
224,4752
226,3521
228,2719
230,1931
232,1500
234,1082
236,849
238,774
240,864
242,1308
244,1624
246,2224
248,2423
250,2959
252,3547
254,7237
256,5218
258,5311
260,4273
262,3270
264,2281
266,1549
268,1091
270,796
272,610
274,445
276,894
278,1454
280,2262
282,2363
284,3847
286,3876
288,3935
290,3479
292,3415
294,3861
296,3571
298,3113
300,2319
302,1630
304,1297
306,861
308,761
310,659
312,701
314,762
316,1188
318,1778
320,2428
322,3806
324,4519
326,5646
328,4851
330,5374
332,4713
334,7367
336,7236
338,5245
340,3636
342,2417
344,1258
346,766
348,479
350,402
352,248
354,254
356,604
358,1346
360,2342
362,3328
364,3599
366,4081
368,7643
370,7919
372,6098
374,6896
376,5634
378,5134
380,4188
382,3469
384,2442
386,1931
388,1790
390,1722
392,1488
394,1416
396,1369
398,1666
400,2627
402,2840
404,4044
406,4929
408,5111
410,3152
412,4462
414,4082
416,3026
418,1589
420,2075
422,1829
424,1388
426,1149
428,968
430,1170
432,1465
434,1676
436,3075
438,3815
440,4639
442,4424
444,2784
446,5860
448,5781
450,4897
452,3920
454,3835
456,3618
458,3050
460,3772
462,3517
464,3350
466,3018
468,2625
470,2412
472,2221
474,2619
476,3203
478,2706
480,2717
482,2175
484,1628
486,2388
488,3677
490,3156
492,4272
494,3771
496,4955
498,5584
500,3891
502,3501
504,4436
506,4369
508,3394
510,3869
512,2922
514,1843
516,2837
518,4690
520,5119
522,5839
524,5389
526,4993
528,4446
530,4851
532,4243
534,4620
536,4849
538,3664
540,3016
542,2881
544,3821
546,4300
548,4168
550,5446
552,5917
554,8579
556,7533
558,6884
560,4127
562,5546
564,6313
566,6650
568,6304
570,4842
572,4352
574,3215
576,2652
578,2330
580,3123
582,3955
584,4494
586,4780
588,5753
590,5555
592,5712
594,4786
596,4066
598,2891
600,3270
602,4404
604,4398
606,4112
608,4401
610,5779
612,6597
614,8091
616,11282
618,12446
620,13712
622,11017
624,14683
626,7258
628,6195
630,5962
632,4213
634,2775
636,1781
638,936
640,898
642,1160
644,3158
646,3386
648,4547
650,4823
652,4970
654,4940
656,5793
658,7836
660,4457
662,6901
664,8191
666,6766
668,5165
670,2919
672,3415
674,3431
676,3162
678,2525
680,2290
682,1955
684,1936
686,2384
688,4666
690,7219
692,8306
694,8027
696,7010
698,8149
700,8949
702,6105
704,5324
706,5766
708,6214
710,7007
712,8154
714,9049
716,6883
718,8103
720,6803
